2016_5_24 18:15:5
With weights: 0.00980392, 0.00980392, 0.980392
Number of infeasible solutions:0
Min num lib/ass: (25) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (26) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 2/2
Min num lib/ass: (27) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (28) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (29) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (30) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 3/0
Min num lib/ass: (31) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 22, Shift avail: 27, Day avail: 32 Num stand ins (lib/ass): 3/0
Min num lib/ass: (32) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (33) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (34) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (35) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (36) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 3/0
Min num lib/ass: (37) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 3/0
Min num lib/ass: (38) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
