Iteration, weekend objf, stand in cost, shift avail cost, day avail cost, aver_stand_in, aver_shift, aver_day. 
288,33.9257,21,27,32,8.72,7.49749,11.08
289,33.9453,23,27,33,8.72,7.49749,11.08
290,33.9453,22,26,32,8.72,7.49749,11.08
291,33.9453,23,27,32,8.72,7.49749,11.08
292,33.9453,23,27,33,8.72,7.49749,11.08
293,33.9453,23,27,33,8.72,7.49749,11.08
294,33.9453,23,27,33,8.72,7.49749,11.08
295,33.9453,22,27,31,8.7,7.48241,11.06
296,33.9453,23,27,33,8.72,7.49749,11.08
297,33.9453,22,27,31,8.72,7.49749,11.08
298,33.9453,23,27,32,8.72,7.49749,11.08
299,33.9453,23,27,33,8.72,7.49749,11.08
300,33.9453,23,27,32,8.72,7.49749,11.08
301,33.9453,21,27,32,8.7,7.49246,11.08
302,33.9453,23,27,33,8.72,7.49749,11.08
303,33.9453,23,27,33,8.72,7.49749,11.08
304,33.9453,23,27,32,8.72,7.49749,11.08
305,33.9061,20,26,33,8.72,7.49749,11.08
306,33.9061,20,26,32,8.72,7.49749,11.08
307,33.9061,19,25,32,8.72,7.49749,11.08
308,33.9257,21,27,33,8.7,7.49246,11.08
309,33.9257,21,27,31,8.7,7.49246,11.08
310,33.9257,21,27,31,8.7,7.49246,11.08
311,33.9257,21,27,33,8.7,7.49246,11.08
312,33.9257,21,27,31,8.7,7.49246,11.08
313,33.9257,20,27,31,8.7,7.49246,11.08
314,33.9257,20,27,31,8.68,7.47739,11.06
315,33.9257,21,27,32,8.7,7.49246,11.08
316,33.9257,22,26,33,8.7,7.49246,11.08
317,33.9257,22,26,33,8.7,7.49246,11.08
318,33.9257,23,27,31,8.72,7.49749,11.08
319,33.9257,22,26,33,8.7,7.49246,11.08
320,33.9257,22,26,33,8.7,7.49246,11.08
321,33.9257,22,27,32,8.7,7.49246,11.08
322,33.9257,20,26,33,8.7,7.49246,11.08
323,33.9355,22,27,33,8.7,7.49246,11.08
324,33.9355,22,27,33,8.7,7.49246,11.08
325,33.9355,22,27,32,8.7,7.49246,11.08
326,33.9355,22,27,33,8.7,7.49246,11.08
327,33.9355,22,27,33,8.7,7.49246,11.08
328,33.9355,22,27,33,8.7,7.49246,11.08
329,33.9355,22,26,30,8.7,7.48241,11.06
330,33.9355,22,27,31,8.7,7.49246,11.08
331,33.9355,22,27,32,8.7,7.49246,11.08
332,33.9355,20,27,31,8.7,7.49246,11.08
333,33.9355,22,27,32,8.7,7.49246,11.08
334,33.9355,21,27,31,8.7,7.49246,11.08
335,33.9355,22,27,31,8.7,7.49246,11.08
336,33.9159,20,27,33,8.7,7.49246,11.08
337,33.9257,21,27,33,8.7,7.49246,11.08
338,33.9257,22,27,32,8.7,7.49246,11.08
339,33.9257,19,27,32,8.7,7.49246,11.08
340,33.9257,21,27,32,8.7,7.49246,11.08
341,33.9257,20,27,33,8.7,7.49246,11.08
342,33.9257,23,26,31,8.7,7.49246,11.08
343,33.9257,23,27,32,8.7,7.49246,11.08
344,33.9257,21,27,33,8.7,7.49246,11.08
345,33.9257,19,27,32,8.7,7.49246,11.08
346,33.9257,22,27,31,8.7,7.49246,11.08
347,33.9257,21,27,32,8.7,7.49246,11.08
348,33.9257,22,27,30,8.68,7.47739,11.06
349,33.9257,21,27,33,8.7,7.49246,11.08
350,33.9453,23,27,33,8.72,7.49749,11.08
351,33.9453,23,27,32,8.72,7.49749,11.08
352,33.9453,23,27,32,8.72,7.49749,11.08
353,33.9453,21,27,32,8.72,7.49749,11.08
354,33.9453,23,27,31,8.7,7.48241,11.06
355,33.9453,23,27,33,8.72,7.49749,11.08
356,33.9453,23,27,32,8.72,7.49749,11.08
357,33.9453,23,27,33,8.72,7.49749,11.08
358,33.9453,21,27,32,8.72,7.49749,11.08
359,32.9649,23,27,32,8.72,7.49749,11.08
360,32.9649,23,27,32,8.72,7.49749,11.08
361,32.9649,22,27,31,8.72,7.49749,11.08
362,32.9649,23,27,31,8.7,7.48241,11.06
